State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total
KARNATAKA CODE : S10,Chikkodi NO : 26,555791,538262,1094053,408442,360243,768685
KARNATAKA CODE : S10,Bagalkot NO : 27,566300,561660,1127960,412544,371285,783829
KARNATAKA CODE : S10,Bijapur NO : 28,608727,574099,1182826,401136,345154,746290
KERALA CODE : S11,Kasaragod NO : 1,587293,612671,1199964,451150,480482,931632
KERALA CODE : S11,Cannanore NO : 2,552974,568218,1121192,433102,453252,886354
KERALA CODE : S11,Badagara NO : 3,558607,597327,1155934,405681,456252,861933
KERALA CODE : S11,Calicut NO : 4,554745,569895,1124640,416505,410396,826901
KERALA CODE : S11,Manjeri NO : 5,602400,615488,1217888,406537,410036,816573
KERALA CODE : S11,Ponnani NO : 6,556755,589580,1146335,335277,359713,694990
KERALA CODE : S11,Palghat NO : 7,556506,575910,1132416,407596,408286,815882
KERALA CODE : S11,Ottapalam NO : 8,525834,577493,1103327,373232,411352,784584
KERALA CODE : S11,Trichur NO : 9,512316,558950,1071266,351028,386026,737054
KERALA CODE : S11,Mukundapuram NO : 10,527224,556221,1083445,388401,403811,792212
KERALA CODE : S11,Ernakulam NO : 11,582818,598093,1180911,400196,376737,776933
KERALA CODE : S11,Muvattupuzha NO : 12,509932,510221,1020153,365471,326807,692278
KERALA CODE : S11,Kottayam NO : 13,505422,512963,1018385,376003,357722,733725
KERALA CODE : S11,Idukki NO : 14,563574,557910,1121484,401237,377703,778940
KERALA CODE : S11,Alleppey NO : 15,501511,532028,1033539,387840,405201,793041
KERALA CODE : S11,Mavelikara NO : 16,446801,490151,936952,315226,351931,667157
KERALA CODE : S11,Adoor NO : 17,490815,516323,1007138,336576,366432,703008
KERALA CODE : S11,Quilon NO : 18,532816,555781,1088597,359589,381280,740869
KERALA CODE : S11,Chirayinkil NO : 19,530968,565449,1096417,329121,361992,691113
KERALA CODE : S11,Trivandrum NO : 20,594996,603922,1198918,383846,373651,757497
MADHYA PRADESH CODE : S12,Morena NO : 1,689554,569306,1258860,353199,147128,500327
MADHYA PRADESH CODE : S12,Bhind NO : 2,719301,585715,1305016,447260,219871,667131
MADHYA PRADESH CODE : S12,Gwalior NO : 3,698120,582021,1280141,386473,230268,616741
MADHYA PRADESH CODE : S12,Guna NO : 4,686650,594303,1280953,436794,252425,689219
MADHYA PRADESH CODE : S12,Sagar NO : 5,605703,516761,1122464,343668,200264,543932
MADHYA PRADESH CODE : S12,Khajuraho NO : 6,745445,634426,1379871,474659,272170,746829
MADHYA PRADESH CODE : S12,Damoh NO : 7,658439,582187,1240626,375347,196521,571868
MADHYA PRADESH CODE : S12,Satna NO : 8,623118,566574,1189692,386287,239357,625644
MADHYA PRADESH CODE : S12,Rewa NO : 9,716054,653739,1369793,467449,281051,748500
MADHYA PRADESH CODE : S12,Sidhi NO : 10,662773,600440,1263213,391823,223389,615212
MADHYA PRADESH CODE : S12,Shahdol NO : 11,614175,584089,1198264,371101,225187,596288
MADHYA PRADESH CODE : S12,Surguja NO : 12,550701,539209,1089910,355362,236539,591901
MADHYA PRADESH CODE : S12,Raigarh NO : 13,491482,484505,975987,320391,259241,579632
MADHYA PRADESH CODE : S12,Janjgir NO : 14,635612,608160,1243772,385864,286801,672665
MADHYA PRADESH CODE : S12,Bilaspur NO : 15,561601,545460,1107061,313568,220765,534333
MADHYA PRADESH CODE : S12,Sarangarh NO : 16,543585,544319,1087904,375490,310481,685971
MADHYA PRADESH CODE : S12,Raipur NO : 17,601689,575455,1177144,368784,300503,669287
MADHYA PRADESH CODE : S12,Mahasamund NO : 18,533362,538185,1071547,377178,314892,692070
MADHYA PRADESH CODE : S12,Kanker NO : 19,520473,516326,1036799,339054,247177,586231
MADHYA PRADESH CODE : S12,Bastar NO : 20,472755,481650,954405,235159,140445,375604
MADHYA PRADESH CODE : S12,Durg NO : 21,683486,646492,1329978,429628,342612,772240
MADHYA PRADESH CODE : S12,Rajnandgaon NO : 22,503304,513409,1016713,328407,275233,603640
MADHYA PRADESH CODE : S12,Balaghat NO : 23,454210,462222,916432,311014,272829,583843
MADHYA PRADESH CODE : S12,Mandla NO : 24,501168,500369,1001537,289211,205095,494306
MADHYA PRADESH CODE : S12,Jabalpur NO : 25,655715,585763,1241478,332878,200987,533865
MADHYA PRADESH CODE : S12,Seoni NO : 26,574368,541054,1115422,351861,245754,597615
MADHYA PRADESH CODE : S12,Chhindwara NO : 27,545820,509877,1055697,367464,269277,636741
MADHYA PRADESH CODE : S12,Betul NO : 28,527535,493551,1021086,321424,224914,546338
MADHYA PRADESH CODE : S12,Hoshangabad NO : 29,613244,540121,1153365,413852,273366,687218
MADHYA PRADESH CODE : S12,Bhopal NO : 30,840569,737786,1578355,564975,411711,976686
MADHYA PRADESH CODE : S12,Vidisha NO : 31,634269,537422,1171691,415360,240326,655686
MADHYA PRADESH CODE : S12,Rajgarh NO : 32,585117,529955,1115072,425846,247791,673637
MADHYA PRADESH CODE : S12,Shajapur NO : 33,623937,575088,1199025,453603,310194,763797
MADHYA PRADESH CODE : S12,Khandwa NO : 34,570538,539642,1110180,361093,270016,631109
MADHYA PRADESH CODE : S12,Khargone NO : 35,589189,567673,1156862,390544,308378,698922
MADHYA PRADESH CODE : S12,Dhar NO : 36,589210,568158,1157368,394741,304160,698901
MADHYA PRADESH CODE : S12,Indore NO : 37,777345,700763,1478108,484003,350576,834579
MADHYA PRADESH CODE : S12,Ujjain NO : 38,574759,533077,1107836,392916,280826,673742
MADHYA PRADESH CODE : S12,Jhabua NO : 39,559358,553124,1112482,354675,265770,620445
MADHYA PRADESH CODE : S12,Mandsaur NO : 40,634969,608395,1243364,440609,313520,754129
MAHARASHTRA CODE : S13,Rajapur NO : 1,345015,445522,790537,221339,234885,456224
MAHARASHTRA CODE : S13,Ratnagiri NO : 2,377331,495028,872359,247091,311138,558229
MAHARASHTRA CODE : S13,Kolaba NO : 3,584914,571542,1156456,370391,340505,710896
MAHARASHTRA CODE : S13,Mumbai South NO : 4,423910,295371,719281,185891,117131,303022
MAHARASHTRA CODE : S13,Mumbai South Centra NO : 5,490656,321920,812576,227186,141944,369130
MAHARASHTRA CODE : S13,Mumbai North Central NO : 6,659711,488605,1148316,311858,216484,528342
MAHARASHTRA CODE : S13,Mumbai North East NO : 7,1133088,857252,1990340,542410,387139,929549
MAHARASHTRA CODE : S13,Mumbai North West NO : 8,858879,694136,1553015,408047,305539,713586
MAHARASHTRA CODE : S13,Mumbai North NO : 9,1238585,983655,2222240,554007,400253,954260
MAHARASHTRA CODE : S13,Thane NO : 10,1528913,1243837,2772750,571505,362522,934027
MAHARASHTRA CODE : S13,Dahanu NO : 11,781039,653639,1434678,402528,306353,708881
MAHARASHTRA CODE : S13,Nashik NO : 12,696822,647933,1344755,434964,343320,778284
MAHARASHTRA CODE : S13,Malegaon NO : 13,552513,530668,1083181,373445,325185,698630
MAHARASHTRA CODE : S13,Dhule NO : 14,563549,539296,1102845,345020,281333,626353
MAHARASHTRA CODE : S13,Nandurbar NO : 15,540564,538902,1079466,372962,337827,710789
MAHARASHTRA CODE : S13,Erandol NO : 16,552316,530642,1082958,369156,310598,679754
MAHARASHTRA CODE : S13,Jalgaon NO : 17,565869,535297,1101166,398393,345149,743542
MAHARASHTRA CODE : S13,Buldhana NO : 18,532242,506886,1039128,399306,344307,743613
MAHARASHTRA CODE : S13,Akola NO : 19,594955,550185,1145140,392743,305473,698216
MAHARASHTRA CODE : S13,Washim NO : 20,512859,491352,1004211,372777,305233,678010
MAHARASHTRA CODE : S13,Amravati NO : 21,591315,533571,1124886,397203,301030,698233
MAHARASHTRA CODE : S13,Ramtek NO : 22,554879,495954,1050833,388975,300796,689771
MAHARASHTRA CODE : S13,Nagpur NO : 23,818595,732785,1551380,458048,371898,829946
MAHARASHTRA CODE : S13,Bhandara NO : 24,473280,465368,938648,338919,324187,663106
MAHARASHTRA CODE : S13,Chimur NO : 25,516017,497305,1013322,416540,364181,780721
MAHARASHTRA CODE : S13,Chandrapur NO : 26,636282,588056,1224338,451967,376253,828220
MAHARASHTRA CODE : S13,Wardha NO : 27,566595,513374,1079969,382519,300416,682935
MAHARASHTRA CODE : S13,Yavatmal NO : 28,525723,481882,1007605,363047,285758,648805
