pc91_state_id,pc91_district_id,ec98_count_own_f,ec98_count_all
21,24,556.0,50867.0
21,25,609.0,49596.0
21,26,2650.117518604954,147672.48427026754
21,27,546.0,50209.7890625
22,1,80.0,2410.0
22,2,801.7375122428991,17681.366307541626
22,3,306.35456310679615,5021.098252427184
22,4,252.0,2960.0
23,1,9984.0,583638.0
23,2,27186.340094377865,1037317.535004521
23,3,9379.45144690646,309235.25497970596
23,4,11791.906742951574,154421.8504477121
23,5,3986.5235749472204,137895.00209719205
23,6,14623.127402214985,297334.8510118094
23,7,22828.753329796178,486935.08117682114
23,8,16982.38848381779,351088.7417102063
23,9,3326.0,51912.0
23,10,25615.847834135504,654871.8052573121
23,11,1402.0,174007.0
23,12,11942.651414686829,326462.6270056232
23,13,5615.048192771084,266876.8745725259
23,14,2749.0,85651.32944241566
23,15,1806.3556349199714,72026.87360222111
23,16,520.0,353113.0129543001
23,17,17423.06451612903,279129.34114344436
23,18,0.0,71666.99684468651
23,19,84318.0,222558.7960199005
23,20,248371.14303851037,295095.8311468472
23,21,8935.0,124812.0
24,1,1621.6304301879102,112083.5096425023
24,2,977.3928601189649,47192.30237949739
24,3,742.7631219909132,42421.62523228944
25,1,46.0,12948.0
25,2,154.0,20988.0
25,3,313.2731034482759,24592.263881000676
25,4,1663.0865140501248,71192.04545947706
25,5,227.79047320370756,21378.94041396613
25,6,279.0,25413.0
25,7,333.1165821868211,28228.67776973208
25,8,975.2320310030324,101520.54379448146
25,9,2033.0,124975.0
25,10,6302.0,239663.0
25,11,2366.0,88711.0
25,12,2054.0,145210.0
25,13,2457.0,96913.0
25,14,1335.0,200545.0
25,15,3874.0,236510.0
25,16,4188.479639291405,292661.97336963343
25,17,2044.0,133533.0
25,18,5115.0,153660.0
25,19,815.0,85464.0
25,20,2950.0,226030.0
25,21,1261.0,114152.0
25,22,1915.0,71459.0
25,23,1200.0,34835.0
25,24,1290.0,92422.0
25,25,2096.0,174996.0
25,26,709.0,54169.0
25,27,1351.0,60739.0
25,28,2735.0,77512.0
25,29,3581.0,96702.0
25,30,1799.0,81007.0
25,31,2498.0,63976.0
25,32,6829.0,296428.0
25,33,1880.0,77928.0
25,34,2778.0,94281.0
25,35,1434.0,58190.0
25,36,1572.0,66985.0
25,37,5589.0,259608.0
25,38,1184.0,49677.0
25,39,2786.0,66303.0
25,40,834.0,31217.0
