pc91_state_id,pc91_district_id,state_clean,alloc_electors_f,alloc_voters_f,alloc_treated_electors_f,Female_Turnout_Dist,EVM_Exposure,Lit_Pct,SC_Pct,ST_Pct,Urban_Pct,Fem_Enterprise_Pct,Agency_IHS,Agency_Centered
14,19,maharashtra,724313.0035083104,461432.4007392145,0.0,63.70621520036265,0.0,38.03835779149613,18.149103963569797,11.84239096385387,17.57108515628822,0.8905506458191705,0.8018267658114112,-0.6958997509232324
14,20,maharashtra,377518.49455826666,260427.67146923975,0.0,68.98408295836353,0.0,43.9017587185729,16.344479118595785,1.7599721701413509,12.387969540721148,1.2859636731919883,1.0698638406427832,-0.42786267609186046
14,21,maharashtra,587181.7054982939,398548.8510215728,0.0,67.87487540732496,0.0,44.347955227147615,19.060013443545756,2.2382251179590624,16.345657776470933,0.9281861193984873,0.8296712368971797,-0.6680552798374639
14,22,maharashtra,617197.8647920862,399405.81827546906,0.0,64.71276734082933,0.0,49.838811344330885,11.487415303724383,5.056939541398262,16.92934153069052,2.235421367525469,1.5442209431948049,0.04649442646016122
14,23,maharashtra,725327.4188832995,424517.24636775116,0.0,58.52767113386255,0.0,53.92031959954314,11.947679394256621,7.031433821786042,23.74370616785389,2.29355907048331,1.5677073481403385,0.06998083140569489
14,24,maharashtra,693689.9467604712,396283.450708293,0.0,57.126883928321995,0.0,58.62234478470331,17.47677446538885,14.383627333291818,27.629329603732995,3.785878861649282,2.0414282109264628,0.5437016941918191
14,25,maharashtra,662464.7857460044,399284.86915751104,0.0,60.27261791853202,0.0,47.678109943268254,10.919801419641585,21.464087227462322,14.474489972770305,2.3958101181190106,1.607825219742787,0.11009870300814328
14,26,maharashtra,338856.3999873846,198291.85790205607,0.0,58.51796156408389,0.0,59.43971885695226,14.05106257793784,15.58906720057113,22.881285268190492,1.1962107609435948,1.0135450602931562,-0.48418145644148747
14,27,maharashtra,1161855.6193730282,633141.7583901105,0.0,54.49401352740993,0.0,61.96075067102426,18.83784044422825,13.924418772677393,52.34831870511104,2.349781968162703,1.5899492163556568,0.09222269962101315
14,28,maharashtra,633403.2937062632,445787.8006024329,0.0,70.37977305011682,0.0,54.27496964598608,16.866535808721554,14.700025478867484,11.202635758001051,5.5763038508037965,2.4196179185010083,0.9218914017663646
14,29,maharashtra,420643.5664386764,285983.7927184565,0.0,67.9872023574973,0.0,49.59587899281826,16.903725407648107,19.704863560486096,23.525869726421195,1.1688380962541174,0.9958698836919592,-0.5018566330426845
14,30,maharashtra,529224.2053880258,349241.7982064789,0.0,65.99127452048715,0.0,35.177316679584756,12.197557845516576,38.69518811705061,7.321507985921399,1.273046532045654,1.0619095519259694,-0.43581696480867427
15,4,manipur,121103.87811939287,77440.25863844382,0.0,63.94531689736448,0.0,39.02188300898414,0.33373700960374014,85.51694032162672,11.202016503787986,3.44689378757515,1.9510278157638172,0.4533012990291736
15,5,manipur,92701.77521681483,60448.79010264366,0.0,65.20780207419273,0.0,42.986072840337734,3.756999299219616,0.9674851509399303,29.443662019744316,24.431723909075824,3.889448189931235,2.3917216731965913
15,6,manipur,22152.609945188553,14205.427608931803,0.0,64.12530010720997,0.0,45.39560664479762,1.290568834947697,5.2966980688487775,30.617404147743304,23.31009396786905,3.8424934473224237,2.34476693058778
15,7,manipur,154662.32128194656,100803.9524653278,0.0,65.1768004190006,0.0,59.292580360795824,3.200512891892006,4.766182878015243,34.873274367637194,20.46568633494301,3.7124931737488254,2.2147666570141817
16,1,meghalaya,102012.13270070017,50232.62808233046,0.0,49.24181737255816,0.0,26.70440371383344,0.33881699799975507,95.50285068920003,7.369156313925061,0.7807157510827445,0.7175388675298878,-0.7801876492047558
16,2,meghalaya,222676.41869373072,122472.20988971699,0.0,55.00008065881702,0.0,47.9478907666359,0.36439182343231846,78.3926472224143,29.28603856179478,1.280365536964597,1.0664226656089506,-0.431303851125693
16,3,meghalaya,173574.7540860503,91130.71499369976,0.0,52.50228667961782,0.0,38.04784767234292,0.014080860476841527,98.1095309256576,4.844724446644895,0.23761999809904003,0.23543884229369516,-1.2622876744409486
16,4,meghalaya,101432.26824134699,64307.862481589626,0.0,63.39980717829962,0.0,37.01347543276056,0.12765641884018053,96.83189609509078,4.875839566074115,0.8262617239839214,0.7530441235539744,-0.7446823931806692
16,5,meghalaya,207402.42305664395,137239.39537108544,0.0,66.1705843878226,0.0,30.537804624036657,1.1724640699854196,80.6171630910227,8.789627161008124,0.9376798348058631,0.8366130592210346,-0.6611134575136091
17,1,mizoram,339887.40311531734,222779.37686084906,0.0,65.54505251413046,0.0,71.88697187882082,0.06834355699998955,94.66564952504363,44.82543132726532,0.0954068420335287,0.09526269212876796,-1.4024638246058756
17,2,mizoram,45028.5983993187,28406.60902831608,0.0,63.0857056140257,0.0,63.56056186330387,0.1445047794282637,94.41367858905892,33.23250908764529,0.0,0.0,-1.4977265167346436
17,3,mizoram,36059.68079612159,22748.504072398624,0.0,63.0857056140257,0.0,47.21855100324402,0.20325203252032523,95.55048259842205,10.747326685089511,0.0,0.0,-1.4977265167346436
18,1,nagaland,116039.38492792139,85751.89566045025,0.0,73.89895742184052,0.0,56.61371429456036,0.0,74.46856270044198,25.073726524262025,1.495795776322331,1.1924288687098756,-0.305297648024768
18,2,nagaland,58363.92692032525,43649.46995802394,0.0,74.78843912886713,0.0,51.27256353028701,0.0,94.07572731900231,6.560554446141195,0.800108489286683,0.732752969703907,-0.7649735470307366
18,3,nagaland,43878.12887672219,33028.660947016535,0.0,75.27363128863634,0.0,52.66789997713526,0.0,97.06915545947744,9.394292128292003,0.08537279453614115,0.08526942640653849,-1.412457090328105
18,4,nagaland,90264.2786836733,63282.254670498616,0.0,70.10774981348729,0.0,60.272115431172224,0.0,92.64513629981117,14.09601510676415,0.8573061535530578,0.7767942512733276,-0.7209322654613161
18,5,nagaland,81040.81931010663,55345.54295423973,0.0,68.29341488078659,0.0,67.72955156780785,0.0,92.63957467766174,13.386667003422279,0.4478427089022392,0.4340815952414372,-1.0636449214932064
18,6,nagaland,129090.48578132827,95436.0512356562,0.0,73.92957789106107,0.0,40.207208058186566,0.0,95.10145724026002,7.151812319133041,0.08776328986960882,0.08765101400457263,-1.410075502730071
18,7,nagaland,93415.9294989075,65304.0019228952,0.0,69.90670892340576,0.0,29.76305786945805,0.0,92.14757613611313,5.784273776043928,0.0579575750550597,0.057925176644105895,-1.4398013400905378
19,1,odisha,963563.3512494342,501320.18294547906,0.0,52.02773458490578,0.0,41.49469839153522,17.48021768517811,27.44704879971347,14.461129818405357,3.816638196976264,2.0492538677703775,0.5515273510357339
