st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute,Constituency Clean
MS,Sangli,S1346,14,14,maharashtra,kolhapur,0.0490556845219416,0.0357989941560382,0.0487936282404327,sangli
MS,Sangli,S1346,11,3,karnataka,belgaum,0.0461811029842784,0.0201801311087485,0.0459344027650891,sangli
MS,Sangli,S1346,11,6,karnataka,bijapur,0.0215551134903389,0.0074583500865872,0.0214399657160528,sangli
MS,Satara,S1344,14,11,maharashtra,satara,0.9214279297561394,0.6432760958349312,0.9189039221775592,satara
MS,Satara,S1344,14,12,maharashtra,sangli,0.0785720702438605,0.0600310405417381,0.0783568428838513,satara
MS,Solapur,S1337,14,13,maharashtra,solapur,0.9323954109807026,0.2630602996142675,0.9323891959519908,solapur
MS,Solapur,S1337,11,11,karnataka,gulbarga,0.0248452078677214,0.0066991517606985,0.0248450422580686,solapur
MS,Solapur,S1337,11,6,karnataka,bijapur,0.0239191278941221,0.0061898927481952,0.0239189684574015,solapur
MS,Solapur,S1337,14,12,maharashtra,sangli,0.0188402532574537,0.0087850270083253,0.0188401276747733,solapur
MS,Thane,S1310,14,2,maharashtra,thane,0.7908584847475161,0.2315429397986392,0.6993463439648515,thane
MS,Thane,S1310,14,3,maharashtra,raigarh,0.1346028138811106,0.0566394108113825,0.1190275979718275,thane
MS,Thane,S1310,14,1,maharashtra,mumbai suburban,0.0478783837158615,0.3597332150470085,0.0423382605768259,thane
MS,Thane,S1310,14,10,maharashtra,pune,0.0266603176555117,0.0046348286110209,0.023575388063613,thane
MS,Wardha,S1327,14,26,maharashtra,wardha,0.66005757982949,1.0,0.6573469409497684,wardha
MS,Wardha,S1327,14,24,maharashtra,amravati,0.3093884428104422,0.2388678384290481,0.3081178864716526,wardha
MS,Wardha,S1327,14,25,maharashtra,yavatmal,0.0231530956895666,0.0157870693505579,0.0230580135584316,wardha
MS,Wardha,S1327,14,27,maharashtra,nagpur,0.007400881670501,0.0067846444515169,0.0073704886893228,wardha
MS,Washim,S1320,14,23,maharashtra,akola,0.6421028147617107,0.5383248825919552,0.639520317350027,washim
MS,Washim,S1320,14,25,maharashtra,yavatmal,0.3174814314796793,0.2121058290032358,0.3162045409939115,washim
MS,Washim,S1320,14,17,maharashtra,parbhani,0.0311421472500928,0.0254675227186127,0.0310168954791635,washim
MS,Washim,S1320,14,19,maharashtra,nanded,0.009273606508517,0.0077825041617691,0.0092363086424204,washim
MS,Yavatmal,S1328,14,25,maharashtra,yavatmal,0.965943179578849,0.7212626797282545,0.957865536015147,yavatmal
MS,Yavatmal,S1328,14,23,maharashtra,akola,0.0252350190398899,0.0236456427719832,0.0250239926633525,yavatmal
MS,Yavatmal,S1328,14,24,maharashtra,amravati,0.008821801381261,0.0074586512193799,0.0087480295811654,yavatmal
MZ,Mizoram,S1601,17,1,mizoram,aizawl,0.6130365399592816,0.835564903612558,0.4794763569149602,mizoram
MZ,Mizoram,S1601,17,2,mizoram,lunglei,0.2009792560425926,1.0,0.1571925900357945,mizoram
MZ,Mizoram,S1601,17,3,mizoram,saiha,0.1609476660869714,1.0,0.125882546241815,mizoram
MZ,Mizoram,S1601,15,3,manipur,churachandpur,0.0250365379111542,0.0886619883572046,0.0195819126673931,mizoram
NL,Nagaland,S1701,18,6,nagaland,tuensang,0.2526111650910211,0.9679765879918456,0.2339968664231552,nagaland
NL,Nagaland,S1701,18,1,nagaland,kohima,0.1661512291953878,0.6961064420437364,0.1539079516539475,nagaland
NL,Nagaland,S1701,18,2,nagaland,phek,0.1244846923454753,0.9440400052420866,0.1153117199550382,nagaland
NL,Nagaland,S1701,18,7,nagaland,mon,0.1093139207213759,0.8190612128889694,0.1012588453721532,nagaland
NL,Nagaland,S1701,18,3,nagaland,zunheboto,0.0973954893327019,1.0,0.0902186540305544,nagaland
