st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute
AP,Rajampet,S0122,11,14,karnataka,kolar,0.016409785648796128,0.01882790999353815,0.016379599672189264
AP,Secunderabad,S0131,2,16,andhra pradesh,hyderabad,0.6596289018195896,0.6591094026622518,0.6596289018195893
AP,Secunderabad,S0131,2,15,andhra pradesh,rangareddy,0.34037109818041056,0.016678370578016924,0.34037109818041045
AP,Siddipet,S0132,2,17,andhra pradesh,medak,0.9879500871743943,0.45750959335029034,0.9837385388214271
AP,Siddipet,S0132,2,18,andhra pradesh,nizamabad,0.006161186212986599,0.0036480627554069237,0.0061349215929572196
AP,Siddipet,S0132,2,20,andhra pradesh,karimnagar,0.005888726612619081,0.0023452292536371867,0.005863623465012322
AP,Srikakulam,S0101,2,1,andhra pradesh,srikakulam,0.9398052542891077,0.4437085610129806,0.6844696510926911
AP,Srikakulam,S0101,19,12,odisha,ganjam,0.06019474571089241,0.011090981512203921,0.04384044077888629
AP,Tenali,S0114,2,6,andhra pradesh,krishna,0.5188904429607334,0.13649145442022098,0.5188824200927369
AP,Tenali,S0114,2,7,andhra pradesh,guntur,0.4811095570392665,0.09681414392079311,0.4811021183235985
AP,Tirupathi,S0120,2,10,andhra pradesh,chittoor,0.5957262529988366,0.27199548877945007,0.5656936673527672
AP,Tirupathi,S0120,2,9,andhra pradesh,sri potti sriramulu nellore,0.37500319757541395,0.21802062642457842,0.35609801152386766
AP,Tirupathi,S0120,23,13,tamil nadu,nagapattinam,0.018245895917015087,0.008617822361411703,0.017326058275046848
AP,Tirupathi,S0120,2,11,andhra pradesh,ysr kadapa,0.011024653508734295,0.005004805707805184,0.010468863245920496
AP,Vijayawada,S0113,2,6,andhra pradesh,krishna,0.8847041947092963,0.4161818497968455,0.8819526582483731
AP,Vijayawada,S0113,2,22,andhra pradesh,khammam,0.09634465799241643,0.0237979561558645,0.09604501451738076
AP,Vijayawada,S0113,2,5,andhra pradesh,west godavari,0.010521457134300473,0.005397638997261314,0.010488734137054392
AP,Vijayawada,S0113,2,7,andhra pradesh,guntur,0.0084296901639868,0.003033623624979141,0.008403472813623589
AP,Visakhapatnam,S0104,2,2,andhra pradesh,vizianagaram,0.6310489348036387,0.3786810702894387,0.5772232692277188
AP,Visakhapatnam,S0104,2,3,andhra pradesh,visakhapatnam,0.30750834917488673,0.10996874340877785,0.2812792555949395
AP,Visakhapatnam,S0104,19,11,odisha,koraput,0.04623777323171762,0.006664147647080757,0.04229389696209033
